0	[((86462881, 86462892, 0), 0), ((86462892, 86462881, 0), 12), ((86462881, 86441304, 0), 26), ((86441304, 86500444, 0), 32), ((86500444, 86499631, 0), 42), ((86499631, 86500449, 0), 45), ((86500449, 86466048, 0), 47), ((86466048, 86420503, 0), 56), ((86420503, 86500462, 0), 60), ((86500462, 86500464, 0), 63), ((86500464, 86500465, 0), 65), ((86500465, 86441770, 0), 67), ((86441770, 86456447, 0), 72), ((86456447, 86428039, 0), 79), ((86428039, 86500504, 0), 92), ((86500504, 86500507, 0), 102), ((86500507, 86475909, 0), 105), ((86475909, 86500519, 0), 117), ((86500519, 86478801, 0), 119), ((86478801, 86500520, 0), 120), ((86500520, 86500526, 0), 125), ((86500526, 86470948, 0), 130), ((86470948, 86500542, 0), 141), ((86500542, 86500549, 0), 151), ((86500549, 86500560, 0), 156), ((86500560, 86500568, 0), 182), ((86500568, 86435311, 0), 192), ((86435311, 86500578, 0), 195), ((86500578, 86473650, 0), 211), ((86473650, 86500587, 0), 216), ((86500587, 86422929, 0), 221), ((86422929, 86445402, 0), 230), ((86445402, 86439002, 0), 234), ((86439002, 86430452, 0), 237), ((86430452, 86430447, 0), 276), ((86430447, 86594929, 0), 279), ((86594929, 86594931, 0), 295), ((86594931, 86538570, 0), 298), ((86538570, 86379067, 0), 344), ((86379067, 86379042, 0), 376), ((86379042, 86432105, 0), 378), ((86432105, 86406781, 0), 381), ((86406781, 86430492, 0), 547), ((86430492, 86432131, 0), 551), ((86432131, 86431158, 0), 553), ((86431158, 86413439, 0), 586), ((86413439, 86375113, 0), 593), ('GOAL', 86375113, 593)]
1	[((86571369, 86520232, 0), 0), ((86520232, 86571369, 0), 4), ((86571369, 86519122, 0), 26), ((86519122, 86551400, 0), 33), ((86551400, 86471061, 0), 41), ((86471061, 86471091, 0), 50), ((86471091, 86500303, 0), 77), ((86500303, 86398387, 0), 85), ((86398387, 86421566, 0), 93), ((86421566, 86500246, 0), 155), ('GOAL', 86500246, 155)]
2	[((86454131, 86454120, 0), 0), ((86454120, 86454131, 0), 15), ((86454131, 86470693, 0), 28), ((86470693, 86445395, 0), 40), ((86445395, 86595935, 0), 44), ((86595935, 86568639, 0), 48), ((86568639, 86595929, 0), 50), ((86595929, 86426479, 0), 56), ((86426479, 86426487, 0), 58), ((86426487, 86426493, 0), 74), ((86426493, 86426495, 0), 87), ((86426495, 86431937, 0), 89), ((86431937, 86431956, 0), 123), ((86431956, 86431970, 0), 150), ((86431970, 86431978, 0), 193), ((86431978, 86431980, 0), 208), ((86431980, 86431990, 0), 211), ((86431990, 86431997, 0), 225), ((86431997, 5406929331, 0), 235), ((5406929331, 86432015, 0), 243), ((86432015, 86432019, 0), 249), ((86432019, 86432023, 0), 250), ((86432023, 86432036, 0), 255), ((86432036, 86432045, 0), 263), ((86432045, 86432074, 0), 273), ((86432074, 86432084, 0), 302), ((86432084, 86432101, 0), 313), ((86432101, 86432105, 0), 353), ((86432105, 86406781, 0), 383), ((86406781, 86430492, 0), 549), ((86430492, 86432131, 0), 553), ((86432131, 86431158, 0), 556), ((86431158, 86413439, 0), 589), ((86413439, 86375113, 0), 596), ('GOAL', 86375113, 596)]
3	[((86413439, 86426181, 0), 0), ('GOAL', 86426181, None)]
4	[((86519898, 86508220, 0), 0), ((86508220, 4687298814, 0), 3), ((4687298814, 86430364, 0), 24), ((86430364, 86430380, 0), 29), ((86430380, 86414245, 0), 50), ((86414245, 86430386, 0), 59), ((86430386, 86430395, 0), 64), ((86430395, 86376907, 0), 71), ((86376907, 86430418, 0), 75), ((86430418, 86376920, 0), 81), ((86376920, 86430424, 0), 82), ((86430424, 86554346, 0), 86), ((86554346, 86594931, 0), 97), ((86594931, 86538570, 0), 144), ((86538570, 86379067, 0), 156), ((86379067, 86379042, 0), 188), ((86379042, 86432105, 0), 190), ((86432105, 86406781, 0), 193), ((86406781, 86430492, 0), 254), ((86430492, 86432131, 0), 258), ((86432131, 86431158, 0), 260), ((86431158, 86413439, 0), 293), ((86413439, 86375113, 0), 300), ('GOAL', 86375113, 300)]
5	[((86420803, 86518909, 0), 0), ((86518909, 86417963, 0), 7), ((86417963, 5382279682, 0), 12), ((5382279682, 86518871, 0), 16), ((86518871, 86422213, 0), 33), ((86422213, 86431781, 0), 49), ((86431781, 86431780, 0), 56), ((86431780, 86431774, 0), 63), ((86431774, 86520605, 0), 69), ((86520605, 86499646, 0), 76), ((86499646, 86509471, 0), 84), ((86509471, 86520613, 0), 88), ((86520613, 5375954124, 0), 92), ((5375954124, 86431726, 0), 102), ((86431726, 86431730, 0), 112), ((86431730, 86431719, 0), 114), ((86431719, 86431708, 0), 126), ((86431708, 86416948, 0), 130), ((86416948, 3604344025, 0), 157), ((3604344025, 86431672, 0), 167), ((86431672, 86431629, 0), 170), ((86431629, 86431620, 0), 189), ((86431620, 86431619, 0), 195), ((86431619, 86431607, 0), 197), ((86431607, 86382046, 0), 204), ((86382046, 5393400967, 0), 209), ((5393400967, 5393400955, 0), 232), ((5393400955, 86431098, 0), 243), ((86431098, 86416934, 0), 247), ('GOAL', 86416934, 247)]
6	[((86454120, 86454131, 0), 0), ((86454131, 86470693, 0), 11), ((86470693, 86445395, 0), 24), ((86445395, 86595935, 0), 28), ((86595935, 86568639, 0), 32), ((86568639, 86595929, 0), 34), ((86595929, 86426479, 0), 41), ((86426479, 86426487, 0), 43), ((86426487, 86426493, 0), 59), ((86426493, 86426495, 0), 72), ((86426495, 86431937, 0), 74), ((86431937, 86431956, 0), 107), ((86431956, 86431970, 0), 134), ((86431970, 86431978, 0), 177), ((86431978, 86431980, 0), 193), ((86431980, 86431990, 0), 196), ((86431990, 86431997, 0), 209), ((86431997, 5406929331, 0), 219), ((5406929331, 86432015, 0), 228), ((86432015, 86432019, 0), 234), ((86432019, 86432023, 0), 235), ((86432023, 86432036, 0), 239), ((86432036, 86432045, 0), 247), ((86432045, 86432074, 0), 257), ((86432074, 86432084, 0), 286), ((86432084, 86432101, 0), 298), ((86432101, 86432105, 0), 330), ((86432105, 86406781, 0), 361), ((86406781, 86430492, 0), 516), ((86430492, 86432131, 0), 520), ((86432131, 86431158, 0), 522), ((86431158, 86413439, 0), 555), ((86413439, 86375113, 0), 562), ('GOAL', 86375113, 562)]
7	[((86509357, 86498532, 0), 0), ((86498532, 86509357, 0), 9), ((86509357, 86506464, 0), 24), ((86506464, 86503644, 0), 31), ((86503644, 86441465, 0), 32), ((86441465, 86509371, 0), 36), ((86509371, 86509375, 0), 44), ((86509375, 86499341, 0), 46), ((86499341, 86430211, 0), 56), ((86430211, 86430197, 0), 63), ((86430197, 86430193, 0), 83), ((86430193, 86407506, 0), 94), ((86407506, 86387445, 0), 97), ((86387445, 5375953884, 0), 98), ((5375953884, 86430159, 0), 107), ((86430159, 1559299643, 0), 126), ((1559299643, 86430101, 0), 128), ((86430101, 5375953895, 0), 159), ((5375953895, 86430097, 0), 163), ((86430097, 86430089, 0), 168), ((86430089, 5375953903, 0), 180), ((5375953903, 86430069, 0), 191), ((86430069, 86430030, 0), 197), ('GOAL', 86430030, 197)]
8	[((86500568, 86500560, 0), 0), ((86500560, 86500568, 0), 4), ((86500568, 86435311, 0), 15), ((86435311, 86500578, 0), 17), ((86500578, 86473650, 0), 33), ((86473650, 86500587, 0), 38), ((86500587, 86422929, 0), 44), ((86422929, 86445402, 0), 52), ((86445402, 86439002, 0), 57), ((86439002, 86430452, 0), 60), ((86430452, 86430447, 0), 99), ((86430447, 86594929, 0), 102), ((86594929, 86594931, 0), 118), ((86594931, 86538570, 0), 121), ((86538570, 86379067, 0), 131), ((86379067, 86379042, 0), 163), ((86379042, 86432105, 0), 165), ((86432105, 86406781, 0), 167), ((86406781, 86430492, 0), 214), ((86430492, 86432131, 0), 218), ((86432131, 86431158, 0), 221), ((86431158, 86413439, 0), 254), ((86413439, 86375113, 0), 261), ('GOAL', 86375113, 261)]
9	[((86464673, 86464674, 0), 0), ((86464674, 86508288, 0), 1), ((86508288, 86508306, 0), 8), ((86508306, 86466788, 0), 24), ((86466788, 86431956, 0), 33), ((86431956, 86431970, 0), 44), ((86431970, 86431978, 0), 59), ((86431978, 86431980, 0), 74), ((86431980, 86431990, 0), 77), ((86431990, 86431997, 0), 88), ((86431997, 5406929331, 0), 98), ((5406929331, 86432015, 0), 107), ((86432015, 86432019, 0), 113), ((86432019, 86432023, 0), 114), ((86432023, 86432036, 0), 118), ((86432036, 86432045, 0), 126), ((86432045, 86432074, 0), 136), ((86432074, 86432084, 0), 165), ((86432084, 86432101, 0), 176), ((86432101, 86432105, 0), 189), ((86432105, 86406781, 0), 191), ((86406781, 86430492, 0), 250), ((86430492, 86432131, 0), 254), ((86432131, 86431158, 0), 257), ((86431158, 86413439, 0), 289), ((86413439, 86375113, 0), 297), ('GOAL', 86375113, 297)]
