0	[((86551588, 86554164, 0), 0), ((86554164, 86551588, 0), 9), ((86551588, 86466138, 0), 18), ((86466138, 86458510, 0), 22), ((86458510, 86458968, 0), 24), ((86458968, 86551573, 0), 27), ((86551573, 86462041, 0), 38), ((86462041, 86476775, 0), 40), ((86476775, 86439311, 0), 43), ((86439311, 4289645014, 0), 46), ('GOAL', 4289645014, 46)]
1	[((86508407, 86527354, 0), 0), ((86527354, 86508407, 0), 3), ((86508407, 86426504, 0), 24), ((86426504, 86426497, 0), 27), ((86426497, 86426495, 0), 34), ((86426495, 86431937, 0), 37), ((86431937, 86431956, 0), 60), ((86431956, 86431970, 0), 85), ((86431970, 86431978, 0), 107), ((86431978, 86431980, 0), 122), ((86431980, 86431990, 0), 125), ((86431990, 86431997, 0), 137), ((86431997, 5406929331, 0), 146), ((5406929331, 86432015, 0), 155), ((86432015, 86432019, 0), 161), ((86432019, 86432023, 0), 162), ((86432023, 86432036, 0), 167), ((86432036, 86432045, 0), 175), ((86432045, 86432074, 0), 184), ((86432074, 86432084, 0), 213), ((86432084, 86432101, 0), 225), ((86432101, 86432105, 0), 238), ((86432105, 86406781, 0), 264), ((86406781, 86430492, 0), 378), ((86430492, 86432131, 0), 382), ((86432131, 86431158, 0), 384), ((86431158, 86413439, 0), 417), ((86413439, 86375113, 0), 426), ('GOAL', 86375113, 426)]
2	[((86615179, 86615184, 0), 0), ((86615184, 86615179, 0), 14), ((86615179, 86518749, 0), 25), ((86518749, 86518673, 0), 43), ((86518673, 86518765, 0), 48), ((86518765, 86492337, 0), 51), ((86492337, 86593845, 0), 60), ((86593845, 86495630, 0), 71), ((86495630, 86606520, 0), 74), ((86606520, 86585553, 0), 78), ((86585553, 86435629, 0), 82), ((86435629, 86416075, 0), 85), ((86416075, 86479779, 0), 99), ((86479779, 86430226, 0), 103), ((86430226, 86430211, 0), 115), ((86430211, 86430197, 0), 159), ((86430197, 86430193, 0), 186), ((86430193, 86407506, 0), 197), ((86407506, 86387445, 0), 200), ((86387445, 5375953884, 0), 201), ((5375953884, 86430159, 0), 210), ((86430159, 1559299643, 0), 229), ((1559299643, 86430101, 0), 231), ((86430101, 5375953895, 0), 262), ((5375953895, 86430097, 0), 266), ((86430097, 86430089, 0), 271), ((86430089, 5375953903, 0), 283), ((5375953903, 86430069, 0), 293), ((86430069, 86430030, 0), 300), ('GOAL', 86430030, 300)]
3	[((86387161, 86590836, 0), 0), ((86590836, 86387161, 0), 5), ((86387161, 86500647, 0), 8), ((86500647, 86461455, 0), 21), ((86461455, 86500674, 0), 26), ((86500674, 86431158, 0), 33), ((86431158, 86413439, 0), 36), ((86413439, 86375113, 0), 45), ('GOAL', 86375113, 45)]
4	[((86413439, 86426181, 0), 0), ('GOAL', 86426181, None)]
5	[((86387445, 5375953884, 0), 0), ((5375953884, 86430159, 0), 3), ((86430159, 1559299643, 0), 22), ((1559299643, 86430101, 0), 23), ((86430101, 5375953895, 0), 55), ((5375953895, 86430097, 0), 59), ((86430097, 86430089, 0), 63), ((86430089, 5375953903, 0), 76), ((5375953903, 86430069, 0), 86), ((86430069, 86430030, 0), 93), ('GOAL', 86430030, 93)]
6	[((86594012, 86586325, 0), 0), ((86586325, 86504471, 0), 2), ((86504471, 86504468, 0), 7), ((86504468, 5382279703, 0), 14), ((5382279703, 86455026, 0), 21), ((86455026, 86504454, 0), 24), ((86504454, 86504450, 0), 29), ((86504450, 86478669, 0), 36), ((86478669, 86504437, 0), 38), ((86504437, 86481371, 0), 45), ((86481371, 86520654, 0), 51), ((86520654, 86457618, 0), 64), ((86457618, 86499029, 0), 66), ((86499029, 86454802, 0), 70), ((86454802, 86454759, 0), 79), ((86454759, 86422188, 0), 93), ((86422188, 86454741, 0), 103), ((86454741, 86457223, 0), 109), ((86457223, 86382627, 0), 123), ((86382627, 86520732, 0), 183), ((86520732, 86520734, 0), 186), ((86520734, 86520746, 0), 187), ((86520746, 86506050, 0), 194), ((86506050, 86520753, 0), 202), ((86520753, 86520755, 0), 206), ((86520755, 86509080, 0), 207), ((86509080, 86451372, 0), 212), ((86451372, 86520767, 0), 222), ((86520767, 86477498, 0), 223), ((86477498, 86520770, 0), 226), ((86520770, 86520777, 0), 230), ('GOAL', 86520777, 230)]
7	[((86439311, 4289645014, 0), 0), ('GOAL', 4289645014, None)]
8	[((86553744, 86469147, 0), 0), ((86469147, 86553744, 0), 9), ((86553744, 86457029, 0), 18), ((86457029, 86457003, 0), 26), ((86457003, 86456921, 0), 60), ((86456921, 86420803, 0), 65), ((86420803, 86518909, 0), 77), ((86518909, 86417963, 0), 89), ((86417963, 5382279682, 0), 98), ((5382279682, 86518871, 0), 102), ((86518871, 5382279678, 0), 110), ((5382279678, 86499546, 0), 122), ((86499546, 86417805, 0), 142), ((86417805, 86499543, 0), 148), ((86499543, 86480450, 0), 150), ((86480450, 86499536, 0), 153), ((86499536, 86499659, 0), 157), ((86499659, 86509465, 0), 166), ((86509465, 86519748, 0), 171), ((86519748, 5382279690, 0), 179), ((5382279690, 86431730, 0), 182), ((86431730, 86431719, 0), 195), ((86431719, 86431708, 0), 206), ((86431708, 86416948, 0), 211), ((86416948, 3604344025, 0), 237), ((3604344025, 86431672, 0), 248), ((86431672, 86431629, 0), 251), ((86431629, 86431620, 0), 269), ((86431620, 86431619, 0), 276), ((86431619, 86431607, 0), 277), ((86431607, 86382046, 0), 284), ((86382046, 5393400967, 0), 290), ((5393400967, 5393400955, 0), 313), ((5393400955, 86431098, 0), 324), ((86431098, 86416934, 0), 327), ('GOAL', 86416934, 327)]
9	[((86456820, 86456816, 0), 0), ((86456816, 86500395, 0), 28), ((86500395, 86500385, 0), 30), ((86500385, 86500381, 0), 45), ((86500381, 86509510, 0), 52), ((86509510, 86506025, 0), 64), ((86506025, 86509582, 0), 87), ((86509582, 86511736, 0), 112), ((86511736, 86606038, 0), 123), ((86606038, 86616644, 0), 164), ((86616644, 86444231, 0), 176), ((86444231, 86444182, 0), 179), ((86444182, 86444139, 0), 199), ((86444139, 86471107, 0), 208), ((86471107, 86471091, 0), 219), ((86471091, 86500303, 0), 224), ((86500303, 86398387, 0), 232), ((86398387, 86421566, 0), 240), ((86421566, 86500246, 0), 267), ('GOAL', 86500246, 267)]
10	[((86428054, 86380061, 0), 0), ((86380061, 86428040, 0), 5), ((86428040, 86428039, 0), 6), ((86428039, 86500504, 0), 7), ((86500504, 86500507, 0), 17), ((86500507, 86475909, 0), 19), ((86475909, 86500519, 0), 32), ((86500519, 86478801, 0), 34), ((86478801, 86500520, 0), 35), ((86500520, 86500526, 0), 40), ((86500526, 86470948, 0), 45), ((86470948, 86500542, 0), 56), ((86500542, 86500549, 0), 66), ((86500549, 86500560, 0), 71), ((86500560, 86500568, 0), 97), ((86500568, 86435311, 0), 107), ((86435311, 86500578, 0), 109), ((86500578, 86473650, 0), 126), ((86473650, 86500587, 0), 131), ((86500587, 86422929, 0), 136), ((86422929, 86445402, 0), 144), ((86445402, 86439002, 0), 149), ((86439002, 86430452, 0), 152), ((86430452, 86430447, 0), 184), ((86430447, 86594929, 0), 187), ((86594929, 86594931, 0), 194), ((86594931, 86538570, 0), 196), ((86538570, 86379067, 0), 202), ((86379067, 86379042, 0), 211), ((86379042, 86432105, 0), 214), ((86432105, 86406781, 0), 219), ((86406781, 86430492, 0), 305), ((86430492, 86432131, 0), 309), ((86432131, 86431158, 0), 312), ((86431158, 86413439, 0), 344), ((86413439, 86375113, 0), 354), ('GOAL', 86375113, 354)]
